Season,Club (grouped),Club,First Name,Last Name,Position,Total Compensation,Base Salary
2018,RBNY,NYRB,Alejandro 'Kaku',Romero,M,"$709,091 ","$709,091 "
2018,VAN,VAN,Aly,Ghazal,M,"$700,567 ","$575,000 "
2018,ATL,ATL,Brad,Guzan,GK,"$700,008 ","$640,008 "
2018,KC,KC,Johnny,Russell,M,"$700,000 ","$700,000 "
2018,POR,POR,Liam,Ridgewell,D,"$700,000 ","$700,000 "
2018,MTL,MTL,Rudy,Camacho,D,"$699,153 ","$650,000 "
2018,ATL,ATL,Leandro,Pirez,D,"$685,004 ","$650,004 "
2018,RSL,RSL,Joao,Plata,F,"$683,333 ","$525,000 "
2018,COL,COL,Joe,Mason,F,"$682,500 ","$650,000 "
2018,KC,KC,Yohan,Croizet,M,"$680,004 ","$650,004 "
2018,RBNY,NYRB,Daniel,Royer,M,"$668,750 ","$600,000 "
2018,LAFC,LAFC,Laurent,Ciman,D,"$661,667 ","$630,000 "
2018,DC,DC,Luciano,Acosta,F-M,"$652,000 ","$550,000 "
2018,HOU,HOU,Alberth,Elis,F,"$650,340 ","$650,340 "
2018,SEA,SEA,Roman,Torres,D,"$645,000 ","$575,000 "
2018,MNU,MNUFC,Christian,Ramirez,F,"$641,250 ","$575,000 "
2018,COL,COL,Tommy,Smith,D,"$640,000 ","$600,000 "
2018,DC,DC,Paul,Arriola,M,"$639,000 ","$625,000 "
2018,ORL,ORL,Jonathan,Spector,D,"$636,942 ","$575,004 "
2018,SEA,SEA,Kim,Kee-Hee,D,"$632,004 ","$500,004 "
2018,CLB,CLB,Gyasi,Zardes,F,"$630,000 ","$630,000 "
2018,LAFC,LAFC,Benny,Feilhaber,M,"$625,000 ","$625,000 "
2018,PHI,PHI,Jay,Simpson,F,"$623,341 ","$580,008 "
2018,ATL,ATL,Darlington,Nagbe,F-M,"$620,000 ","$605,000 "
2018,LAG,LA,Michael,Ciani,D,"$620,000 ","$600,000 "
2018,VAN,VAN,Efrain,Juarez,D-M,"$619,833 ","$525,000 "
2018,POR,POR,Samuel,Armenteros,F,"$608,333 ","$600,000 "
2018,VAN,VAN,Kendall,Waston,D,"$604,167 ","$575,000 "
2018,NE,NE,Juan,Agudelo,F,"$602,500 ","$575,000 "
2018,ORL,ORL,Yoshimar,Yotun,M,"$599,996 ","$549,996 "
2018,CHI,CHI,Johan,Kappelhof,D,"$595,000 ","$555,000 "
2018,KC,KC,Gerso,Fernandes,F-M,"$591,258 ","$550,008 "
2018,CHI,CHI,Michael,de Leeuw,F,"$589,213 ","$525,000 "
2018,ATL,ATL,Chris,McCann,M,"$588,000 ","$560,000 "
2018,FCD,DAL,Cristian,Colman,F,"$585,000 ","$500,000 "
2018,ORL,ORL,Cristian,Higuita,M,"$581,663 ","$444,996 "
2018,ORL,ORL,Justin,Meram,M,"$578,758 ","$550,008 "
2018,SEA,SEA,Kelvin,Leerdam,D,"$575,000 ","$500,000 "
2018,POR,POR,Diego,Chara,M,"$572,000 ","$550,000 "
2018,SJ,SJ,Florian,Jungwirth,D-M,"$566,671 ","$500,004 "
2018,NYC,NYCFC,Alexander,Callens,D,"$564,000 ","$500,000 "
2018,TFC,TOR,Chris,Mavinga,D,"$563,333 ","$500,000 "
2018,CLB,CLB,Wil,Trapp,M,"$550,004 ","$500,004 "
2018,NE,NE,Cristian,Penilla,F,"$550,000 ","$500,000 "
2018,SEA,SEA,Magnus,Eikrem,M,"$546,667 ","$480,000 "
2018,PHI,PHI,Haris,Medunjanin,M,"$545,004 ","$500,004 "
2018,NE,NE,Wilfried,Zahibo,M,"$544,000 ","$474,000 "
2018,FCD,DAL,Santiago,Mosquera,M,"$541,400 ","$450,000 "
2018,COL,COL,Daniel,Wilson,D,"$540,000 ","$500,000 "
2018,SJ,SJ,Jahmir,Hyka,M,"$539,996 ","$489,996 "
2018,VAN,VAN,Yordy,Reyna,F-M,"$533,700 ","$440,000 "
2018,RSL,RSL,Kyle,Beckerman,M,"$530,008 ","$505,008 "
2018,FCD,DAL,Matt,Hedges,D,"$525,004 ","$500,004 "
2018,DC,DC,Steven,Birnbaum,D,"$525,004 ","$500,004 "
2018,PHI,PHI,CJ,Sapong,F,"$525,000 ","$525,000 "
2018,MNU,MNUFC,Francisco,Calvo,D,"$522,600 ","$450,000 "
2018,DC,DC,Yamil,Asad,M,"$520,523 ","$436,364 "
2018,SJ,SJ,Danny,Hoesen,F,"$518,000 ","$465,000 "
2018,LAFC,LAFC,Lee,Nguyen,M,"$500,000 ","$500,000 "
2018,LAFC,LAFC,Omar,Gaber,D-M,"$500,000 ","$500,000 "
2018,PHI,PHI,Andre,Blake,GK,"$500,000 ","$450,000 "
2018,HOU,HOU,Tomas,Martinez,M,"$487,929 ","$305,004 "
2018,MNU,MNUFC,Kevin,Molino,M,"$477,504 ","$425,004 "
2018,LAG,LA,Perry,Kitchen,D-M,"$474,167 ","$450,000 "
2018,SJ,SJ,Anibal,Godoy,M,"$473,125 ","$425,000 "
2018,ORL,ORL,Will,Johnson,M,"$470,004 ","$434,004 "
2018,LAFC,LAFC,Eduard,Atuesta,M,"$468,000 ","$450,000 "
2018,RBNY,NYRB,Luis,Robles,GK,"$460,000 ","$460,000 "
2018,RBNY,NYRB,Aurelien,Collin,D,"$450,000 ","$450,000 "
2018,RBNY,NYRB,Carlos,Rivas,M,"$444,996 ","$444,996 "
2018,NYC,NYCFC,Anton,Tinnerholm,D,"$434,925 ","$350,000 "
2018,HOU,HOU,Adam,Lundkvist,D,"$433,750 ","$405,000 "
2018,NE,NE,Gabriel,Somi,D,"$425,000 ","$391,000 "
2018,VAN,VAN,Felipe,Martins,M,"$425,000 ","$425,000 "
2018,RSL,RSL,Nick,Rimando,GK,"$422,500 ","$400,000 "
2018,DC,DC,Darren,Mattocks,F,"$416,667 ","$400,000 "
2018,ORL,ORL,Oriol,Rosell,M,"$412,500 ","$412,500 "
2018,VAN,VAN,Cristian,Techera,M,"$412,000 ","$387,000 "
2018,NYC,NYCFC,Alexander,Ring,M,"$411,667 ","$370,000 "
2018,NYC,NYCFC,Maxime,Chanot,D,"$408,000 ","$375,000 "
2018,COL,COL,Jack,Price,M,"$407,500 ","$400,000 "
2018,NE,NE,Antonio,Mlinar Delamea,D,"$400,008 ","$400,008 "
2018,SJ,SJ,Magnus,Eriksson,F,"$400,000 ","$400,000 "
2018,FCD,DAL,Michael,Barrios,M,"$400,000 ","$400,000 "
2018,RSL,RSL,Jefferson,Savarino,F,"$398,688 ","$375,000 "
2018,NYC,NYCFC,Ronald,Matarrita,D,"$395,000 ","$275,000 "
2018,FCD,DAL,Anibal,Chala,D,"$383,000 ","$300,000 "
2018,NYC,NYCFC,Ebenezer,Ofori,M,"$381,250 ","$325,000 "
2018,MNU,MNUFC,Ethan,Finlay,M,"$375,000 ","$375,000 "
2018,DC,DC,David,Ousted,GK,"$369,167 ","$350,000 "
2018,MLS,MLS,Muhamed,Keita,F,"$367,292 ","$325,000 "
2018,COL,COL,Nana,Adjei-Boateng,M,"$361,250 ","$320,004 "
2018,CHI,CHI,Tony,Tchani,M,"$353,333 ","$320,000 "
2018,CHI,CHI,Luis,Solignac,F,"$353,313 ","$300,000 "
2018,SEA,SEA,Will,Bruin,F,"$351,667 ","$350,000 "
2018,NYC,NYCFC,Ismael,Tajouri,F,"$350,500 ","$320,000 "
2018,TFC,TOR,Drew,Moor,D,"$350,004 ","$350,004 "
2018,SEA,SEA,Gustav,Svensson,M,"$350,000 ","$350,000 "
2018,MTL,MTL,Zakaria,Diallo,D,"$343,250 ","$299,250 "
2018,KC,KC,Ike,Opara,D,"$342,917 ","$325,000 "
2018,SJ,SJ,Yeferson,Quintana,D,"$341,250 ","$300,000 "
2018,SEA,SEA,Chad,Marshall,D,"$341,250 ","$325,000 "
2018,ATL,ATL,Michael,Parkhurst,D,"$340,008 ","$340,008 "
2018,MNU,MNUFC,Sam,Cronin,M,"$339,750 ","$315,000 "
2018,MNU,MNUFC,Alexi,Gomez,M,"$339,450 ","$300,000 "
2018,CLB,CLB,Harrison,Afful,D,"$335,600 ","$288,100 "
2018,MNU,MNUFC,Miguel,Ibarra,M,"$332,322 ","$300,000 "
2018,KC,KC,Ilie,Sanchez,M,"$330,008 ","$325,008 "
2018,MTL,MTL,Dom,Oduro,F,"$330,000 ","$330,000 "
2018,PHI,PHI,Ilson,Dias,M,"$327,000 ","$300,000 "
2018,MNU,MNUFC,Ibson,da Silva,M,"$317,083 ","$300,000 "
2018,KC,KC,Tim,Melia,GK,"$316,667 ","$300,000 "
2018,MNU,MNUFC,Luiz,Fernando,M,"$314,167 ","$275,000 "
2018,CLB,CLB,Milton,Valenzuela,D,"$313,300 ","$282,000 "
2018,COL,COL,Sam,Nicholson,M,"$311,456 ","$265,008 "
2018,MTL,MTL,Marco,Donadel,M,"$305,328 ","$120,000 "
2018,VAN,VAN,Bernie,Ibini,F,"$304,008 ","$265,008 "
2018,SJ,SJ,Harold,Cummings,D,"$300,663 ","$249,996 "
2018,NYC,NYCFC,Rodney,Wallace,M,"$300,000 ","$300,000 "
2018,TFC,TOR,Justin,Morrow,D,"$300,000 ","$300,000 "
2018,DC,DC,Frederic,Brillant,D,"$300,000 ","$265,000 "
2018,NE,NE,Luis Alberto,Caicedo,M,"$300,000 ","$300,000 "
2018,FCD,DAL,Kellyn,Acosta,M,"$300,000 ","$280,000 "
2018,LAFC,LAFC,Steven,Beitashour,D,"$298,375 ","$275,000 "
2018,VAN,VAN,Anthony,Blondell,F,"$295,203 ","$250,000 "
2018,LAFC,LAFC,Marco,Urena,F,"$294,413 ","$279,996 "
2018,RSL,RSL,Justen,Glad,D,"$291,700 ","$270,000 "
2018,SJ,SJ,Quincy,Amarikwa,F,"$289,167 ","$275,500 "
2018,RSL,RSL,Sunday,Obayan,M,"$288,000 ","$275,000 "
2018,VAN,VAN,Jordon,Mutch,M,"$284,167 ","$156,000 "
2018,POR,POR,Cristhian,Paredes,M,"$283,500 ","$252,000 "
2018,SEA,SEA,Stefan,Frei,GK,"$281,250 ","$275,000 "
2018,HOU,HOU,Juan,Cabezas,M,"$279,156 ","$255,156 "
2018,HOU,HOU,DaMarcus,Beasley,D,"$275,004 ","$275,004 "
2018,DC,DC,Nick,DeLeon,M,"$275,000 ","$275,000 "
2018,LAG,LA,David,Bingham,GK,"$275,000 ","$275,000 "
2018,HOU,HOU,Darwin,Ceren,M,"$274,375 ","$225,000 "
2018,KC,KC,Emiliano,Amor,D,"$274,375 ","$225,000 "
2018,TFC,TOR,Auro,,D,"$272,504 ","$200,004 "
2018,POR,POR,Vytautas,Andriuskevicius,D,"$271,875 ","$250,000 "
2018,LAG,LA,Rolf,Feltscher,D,"$270,000 ","$240,000 "
2018,MTL,MTL,Victor,Cabrera,D,"$270,000 ","$270,000 "
2018,NE,NE,Andrew,Farrell,D,"$267,600 ","$182,600 "
2018,MNU,MNUFC,Michael,Boxall,D,"$267,341 ","$250,008 "
2018,KC,KC,Diego,Rubio Kostner,F,"$266,875 ","$250,000 "
2018,HOU,HOU,Mauro,Manotas,F,"$264,328 ","$264,328 "
2018,TFC,TOR,Eriq,Zavaleta,D,"$263,558 ","$225,000 "
2018,RBNY,NYRB,Sean,Davis,M,"$261,667 ","$225,000 "
2018,HOU,HOU,Eric,Alexander,M,"$260,004 ","$260,004 "
2018,NE,NE,Teal,Bunbury,F,"$260,000 ","$215,000 "
2018,NYC,NYCFC,Cedric,Hountondji,D,"$258,333 ","$220,000 "
2018,NE,NE,Kelyn,Rowe,M,"$258,000 ","$193,000 "
2018,RBNY,NYRB,Kemar,Lawrence,D,"$255,600 ","$150,000 "
2018,LAG,LA,Sebastian,Lletget,M,"$252,667 ","$240,000 "
2018,HOU,HOU,Romell,Quioto,F,"$252,500 ","$240,000 "
2018,MNU,MNUFC,Collen,Warner,M,"$251,004 ","$251,004 "
2018,NYC,NYCFC,Sean,Johnson,GK,"$250,008 ","$250,008 "
2018,ATL,ATL,Franco,Escobar,D,"$250,008 ","$250,008 "
2018,FCD,DAL,Maynor,Figueroa,D,"$250,000 ","$240,000 "
2018,DC,DC,Patrick,Mullins,F,"$249,996 ","$249,996 "
2018,DC,DC,Russell,Canouse,M,"$247,500 ","$247,500 "
2018,HOU,HOU,Philippe,Senderos,D,"$242,500 ","$225,000 "
2018,MTL,MTL,Jukka,Raitala,D,"$241,671 ","$205,004 "
2018,POR,POR,Alvas,Powell,D,"$241,625 ","$225,000 "
2018,LAG,LA,Joao,Pedro,M,"$240,996 ","$219,996 "
2018,RSL,RSL,Tony,Beltran,D,"$240,950 ","$230,000 "
2018,KC,KC,Cristian,Lobato,M,"$240,000 ","$240,000 "
2018,POR,POR,David,Guzman,M,"$240,000 ","$220,000 "
2018,VAN,VAN,Jose,Aja,D,"$240,000 ","$240,000 "
2018,COL,COL,Johan,Blomberg,M,"$239,808 ","$239,808 "
2018,RSL,RSL,Brooks,Lennon,F,"$237,583 ","$225,000 "
2018,MNU,MNUFC,Johan,Venegas,M,"$237,500 ","$225,000 "
2018,HOU,HOU,Adolfo,Machado,D,"$236,508 ","$220,008 "
2018,LAFC,LAFC,Walker,Zimmerman,D,"$235,000 ","$235,000 "
2018,SEA,SEA,Jordan,Morris,F,"$234,500 ","$222,000 "
2018,RSL,RSL,Luis,Silva,F-M,"$233,667 ","$225,000 "
2018,SJ,SJ,Francois,Affolter,D,"$232,650 ","$200,000 "
2018,HOU,HOU,Andrew,Wenger,M,"$230,000 ","$230,000 "
2018,TFC,TOR,Marco,Delgado,M,"$230,000 ","$230,000 "
2018,MNU,MNUFC,Rasmus,Schuller,M,"$225,004 ","$200,004 "
2018,ORL,ORL,Scott,Sutter,D,"$225,000 ","$225,000 "
2018,RSL,RSL,Jordan,Allen,M,"$225,000 ","$225,000 "
2018,PHI,PHI,Joshua,Yaro,D,"$224,000 ","$140,000 "
2018,TFC,TOR,Clint,Irwin,GK,"$221,313 ","$210,000 "
2018,MNU,MNUFC,Jerome,Thiesson,D,"$219,167 ","$180,000 "
2018,CLB,CLB,Gaston,Sauro,D,"$213,750 ","$213,750 "
2018,FCD,DAL,Jesse,Gonzalez,GK,"$211,500 ","$187,500 "
2018,ATL,ATL,Jeff,Larentowicz,M,"$210,000 ","$210,000 "
2018,CLB,CLB,Artur,de Lima,M,"$210,000 ","$210,000 "
2018,TFC,TOR,Jonathan,Osorio,M,"$209,825 ","$201,351 "
2018,HOU,HOU,AJ,DeLaGarza,D,"$207,500 ","$200,000 "
2018,ATL,ATL,Miles,Robinson,D,"$205,000 ","$135,000 "
2018,TFC,TOR,Tosaint,Ricketts,F,"$203,175 ","$190,008 "
2018,POR,POR,Jeremy,Ebobisse,F,"$203,000 ","$140,000 "
2018,RSL,RSL,Pablo,Ruiz,M,"$201,000 ","$180,000 "
2018,POR,POR,Lawrence,Olum,M,"$200,004 ","$185,004 "
2018,CLB,CLB,Joshua,Williams,D,"$200,000 ","$200,000 "
2018,MTL,MTL,Jeisson,Vargas,M,"$200,000 ","$200,000 "
2018,SJ,SJ,Shea,Salinas,M,"$200,000 ","$200,000 "
2018,NYC,NYCFC,Thomas,McNamara,M,"$200,000 ","$200,000 "
2018,NYC,NYCFC,Yangel,Herrera,M,"$200,000 ","$200,000 "
2018,KC,KC,Brad,Evans,D-M,"$200,000 ","$200,000 "
2018,CLB,CLB,Mike,Grella,F,"$197,550 ","$195,300 "
2018,SJ,SJ,Jackson,Yueill,M,"$196,000 ","$135,000 "
2018,COL,COL,Axel,Sjoberg,D,"$194,996 ","$189,996 "
2018,MNU,MNUFC,Tyrone,Mears,D,"$194,256 ","$194,256 "
2018,POR,POR,Dairon,Asprilla,F-M,"$193,750 ","$180,000 "
2018,ORL,ORL,Mohammed,El-Mounir,D,"$192,833 ","$175,000 "
2018,FCD,DAL,Anton,Nedyalkov,D,"$192,500 ","$180,000 "
2018,SEA,SEA,Cristian,Roldan,M,"$191,000 ","$154,000 "
2018,NE,NE,Diego,Fagundez,M,"$190,000 ","$170,000 "
2018,VAN,VAN,Aaron,Maund,D,"$189,438 ","$180,000 "
2018,ORL,ORL,Joe,Bendik,GK,"$189,083 ","$180,000 "
2018,FCD,DAL,Brandon,Servania,M,"$186,000 ","$135,000 "
2018,MNU,MNUFC,Abu,Danladi,F,"$186,000 ","$135,000 "
2018,ORL,ORL,Stefano,Pinho,F,"$183,333 ","$150,000 "
2018,FCD,DAL,Victor,Ulloa,M,"$182,500 ","$180,000 "
2018,PHI,PHI,Raymon,Gaddis,D,"$182,500 ","$180,000 "
2018,MNU,MNUFC,Bobby,Shuttleworth,GK,"$181,875 ","$165,000 "
2018,CLB,CLB,Mohammed,Abu,M,"$181,258 ","$175,008 "
2018,FCD,DAL,Ema,Twumasi,F,"$180,900 ","$135,000 "
2018,MLS,MLS,Jacob,Peterson,F,"$180,818 ","$173,568 "
2018,ORL,ORL,Dillon,Powers,M,"$180,000 ","$180,000 "
2018,ATL,ATL,Kevin,Kratz,M,"$179,250 ","$165,000 "
2018,MNU,MNUFC,Mason,Toye,F,"$178,000 ","$125,000 "
2018,MLS,MLS,Chance,Myers,D,"$175,008 ","$175,008 "
2018,ATL,ATL,Greg,Garza,D,"$175,008 ","$175,008 "
2018,SEA,SEA,Harry,Shipp,M,"$175,000 ","$175,000 "
2018,LAG,LA,Chris,Pontius,F-M,"$175,000 ","$175,000 "
2018,LAG,LA,Baggio,Husidic,M,"$175,000 ","$175,000 "
2018,RSL,RSL,Luke,Mulholland,M,"$173,250 ","$173,250 "
2018,SEA,SEA,Waylon,Francis,D,"$171,667 ","$165,000 "
2018,SJ,SJ,Tommy,Thompson,M,"$170,000 ","$165,000 "
2018,LAFC,LAFC,Joao,Moutinho,D,"$170,000 ","$130,000 "
2018,COL,COL,Zac,MacMath,GK,"$170,000 ","$170,000 "
2018,FCD,DAL,Francis,Atuahene,F,"$169,000 ","$125,000 "
2018,COL,COL,Dominique,Badji,F,"$168,750 ","$162,500 "
2018,MTL,MTL,Michael,Petrasso,D-M,"$168,129 ","$155,004 "
2018,SJ,SJ,Joel,Qwiberg,D,"$168,000 ","$130,000 "
2018,NE,NE,Chris,Tierney,D-M,"$165,833 ","$157,500 "
2018,HOU,HOU,Leonardo,Da Silva,D,"$165,171 ","$157,505 "
2018,HOU,HOU,Oscar Boniek,Garcia,M,"$165,000 ","$150,000 "
2018,ORL,ORL,Richie,Laryea,M,"$164,000 ","$135,000 "
2018,VAN,VAN,Stefan,Marinovic,GK,"$162,563 ","$150,000 "
2018,VAN,VAN,Russell,Teibert,M,"$160,000 ","$140,000 "
2018,VAN,VAN,Marcel,de Jong,D-M,"$160,000 ","$160,000 "
2018,CLB,CLB,Hector,Jimenez,M,"$159,996 ","$159,996 "
2018,CHI,CHI,Kevin,Ellis,D,"$158,333 ","$150,000 "
2018,MTL,MTL,Evan,Bush,GK,"$157,925 ","$157,925 "
2018,KC,KC,Seth,Sinovic,D,"$157,667 ","$150,000 "
2018,HOU,HOU,Arturo,Alvarez,M,"$157,500 ","$150,000 "
2018,VAN,VAN,Erik,Hurtado,F/M,"$156,250 ","$150,000 "
2018,HOU,HOU,Chris,Seitz,GK,"$155,004 ","$155,004 "
2018,MTL,MTL,Anthony,Jackson-Hamel,F,"$155,000 ","$140,000 "
2018,VAN,VAN,Doneil,Henry,D,"$154,238 ","$140,004 "
2018,RBNY,NYRB,Tyler,Adams,M,"$153,542 ","$107,500 "
2018,PHI,PHI,Warren,Creavalle,M,"$153,000 ","$140,000 "
2018,PHI,PHI,Fabinho,Alves Macedo,D,"$153,000 ","$153,000 "
2018,PHI,PHI,Richie,Marquez,D,"$151,430 ","$145,000 "
2018,POR,POR,Andy,Polo,F,"$150,000 ","$150,000 "
2018,POR,POR,Roy,Miller,D,"$150,000 ","$150,000 "
2018,LAFC,LAFC,Dejan,Jakovic,D,"$150,000 ","$150,000 "
2018,CHI,CHI,Alan,Gordon,F,"$150,000 ","$150,000 "
2018,LAFC,LAFC,Jordan,Harvey,D,"$150,000 ","$150,000 "
2018,VAN,VAN,Sean,Franklin,D,"$150,000 ","$150,000 "
2018,MTL,MTL,Chris,Duvall,D,"$150,000 ","$150,000 "
2018,POR,POR,Julio,Cascante,D,"$150,000 ","$150,000 "
2018,ORL,ORL,Josue,Colman,M,"$150,000 ","$150,000 "
2018,PHI,PHI,Fafa,Picault,F,"$148,667 ","$135,000 "
2018,TFC,TOR,Nicolas,Hasler,D-M,"$147,667 ","$132,000 "
2018,RBNY,NYRB,Tommy,Redding,D,"$147,500 ","$125,000 "
2018,LAFC,LAFC,Luis,Lopez,GK,"$147,500 ","$70,000 "
2018,ATL,ATL,Brandon,Vazquez,F,"$145,004 ","$125,004 "
2018,CLB,CLB,Zack,Steffen,GK,"$145,000 ","$145,000 "
2018,FCD,DAL,Ryan,Hollingshead,D-M,"$145,000 ","$145,000 "
2018,RBNY,NYRB,Fidel,Escobar,D,"$145,000 ","$145,000 "
2018,COL,COL,Marlon,Hairston,M,"$144,996 ","$144,996 "
2018,CHI,CHI,Brandon,Vincent,D,"$144,250 ","$122,375 "
2018,TFC,TOR,Ayo,Akinola,F,"$140,504 ","$54,504 "
2018,KC,KC,Jimmy,Medranda,D,"$140,004 ","$140,004 "
